"id","cell_x","cell_y","boundary","roof","grass","bush","tree","cult","hedge","artif","water","bushAndCult","sparrow","distRf","distHdg","imputedDistHdg","imputedDistRf","anDistRf","anDistHdg"
"4f340640",4,22,1,0,0,0,1,0,0,0,0,0,1,66.454,31.258,FALSE,FALSE,7.82111360874343,1.62671609146287
"4f340640",4,23,0.853,0,0,0,1,0,0,0,0,0,1,66.202,29.897,FALSE,FALSE,7.78617317732616,1.5058619608889
"4f340640",4,24,0.374,0,0,0,1,0,0,0,0,0,1,66.009,28.611,FALSE,FALSE,7.75941324374071,1.39166768321211
"4f340640",4,25,0.017,0,0,0,1,0,0,0,0,0,0,65.876,27.41,FALSE,FALSE,7.7409724604927,1.28502123881877
"4f340640",5,12,0.045,0,0,0,0,0,0,0,1,0,0,69.182,45.458,FALSE,FALSE,8.19935764408595,2.88764823999357
"4f340640",5,13,0.95,0,0,0,0,0,0,0,1,0,1,68.534,43.782,FALSE,FALSE,8.10951082044154,2.7388227272515
"4f340640",5,14,1,0,0,0,0.012,0,0,0,0.988,0,1,67.939,42.134,FALSE,FALSE,8.0270125795952,2.59248355959103
"4f340640",5,15,1,0,0,0,0.891,0,0,0,0.108,0,1,67.398,40.519,FALSE,FALSE,7.95200157405257,2.44907472720532
"4f340640",5,16,1,0,0,0,1,0,0,0,0,0,1,66.912,38.939,FALSE,FALSE,7.88461645631926,2.30877382617162
"4f340640",5,17,1,0,0,0,1,0,0,0,0,0,1,66.483,37.399,FALSE,FALSE,7.82513453140653,2.17202484668308
"4f340640",5,18,1,0,0,0,1,0,0,0,0,0,1,66.112,35.886,FALSE,FALSE,7.77369445181999,2.03767341423752
"4f340640",5,19,1,0,0,0,1,0,0,0,0,0,1,65.616,34.373,FALSE,FALSE,7.70492280903044,1.90332198179196
"4f340640",5,20,1,0,0,0,1,0,0,0,0,0,1,65.176,32.861,FALSE,FALSE,7.64391570655584,1.76905934738503
"4f340640",5,21,1,0,0,0,1,0,0,0,0,0,1,64.796,31.348,FALSE,FALSE,7.59122775441868,1.63470791493947
"4f340640",5,22,1,0,0,0,1,0,0,0,0,0,1,64.475,29.858,FALSE,FALSE,7.54672030011335,1.50239883738238
"4f340640",5,23,1,0,0,0,1,0,0,0,0,0,1,64.215,28.43,FALSE,FALSE,7.51067064865109,1.37559523822027
"4f340640",5,24,1,0,0,0,1,0,0,0,0,0,1,64.016,27.074,FALSE,FALSE,7.48307880003189,1.25518509783946
"4f340640",5,25,0.866,0,0,0,1,0,0,0,0,0,1,63.879,25.802,FALSE,FALSE,7.46408340676139,1.14223399270347
"4f340640",5,26,0.39,0,0,0,1,0,0,0,0,0,1,63.805,24.628,FALSE,FALSE,7.45382312134521,1.03798509535311
"4f340640",5,27,0.021,0,0,0,1,0,0,0,0,0,0,63.793,23.564,FALSE,FALSE,7.45215929127772,0.943503982251936
"4f340640",6,12,0.374,0,0,0,0,0,0,0,1,0,0,67.303,44.418,FALSE,FALSE,7.93882958601828,2.79529827981949
"4f340640",6,13,1,0,0,0,0,0,0,0,1,0,1,66.636,42.702,FALSE,FALSE,7.84634836476701,2.64292084553226
"4f340640",6,14,1,0,0,0,0.285,0,0,0,0.714,0,1,66.024,41.011,FALSE,FALSE,7.76149303132507,2.49276336221075
"4f340640",6,15,1,0,0,0,1,0,0,0,0,0,1,65.467,39.349,FALSE,FALSE,7.68426358569245,2.34518102200948
"4f340640",6,16,1,0,0,0,1,0,0,0,0,0,1,64.967,37.72,FALSE,FALSE,7.6149373328804,2.20052901708297
"4f340640",6,17,1,0,0,0,1,0,0,0,0,0,1,64.525,36.129,FALSE,FALSE,7.55365292539455,2.05925133762435
"4f340640",6,18,1,0,0,0,1,0,0,0,0,0,1,64.142,34.58,FALSE,FALSE,7.50054901574053,1.92170317578815
"4f340640",6,19,1,0,0,0,1,0,0,0,0,0,1,63.673,33.065,FALSE,FALSE,7.43552099060283,1.78717414726533
"4f340640",6,20,1,0,0,0,1,0,0,0,0,0,1,63.22,31.552,FALSE,FALSE,7.37271140555511,1.65282271481977
"4f340640",6,21,1,0,0,0,1,0,0,0,0,0,1,62.828,30.04,FALSE,FALSE,7.31835962335047,1.51856008041284
"4f340640",6,22,1,0,0,0,1,0,0,0,0,0,1,62.497,28.527,FALSE,FALSE,7.27246564398889,1.38420864796728
"4f340640",6,23,1,0,0,0,1,0,0,0,0,0,1,62.228,27.031,FALSE,FALSE,7.23516811997601,1.25136678217841
"4f340640",6,24,1,0,0,0,1,0,0,0,0,0,1,62.023,25.602,FALSE,FALSE,7.20674435632307,1.12447438497768
"4f340640",6,25,1,0,0,0,1,0,0,0,0,0,1,61.882,24.253,FALSE,FALSE,7.18719435303008,1.00468583086726
"4f340640",6,26,1,0,0,0,1,0,0,0,0,0,1,61.805,22.999,FALSE,FALSE,7.17651811009702,0.893333090426595
"4f340640",6,27,0.877,0,0,0,1,0,0,0,0,0,1,61.793,21.857,FALSE,FALSE,7.17485428002953,0.791925730312365
"4f340640",6,28,0.407,0,0,0,1,0,0,0,0,0,1,61.846,20.844,FALSE,FALSE,7.18220286282761,0.701973317181266
"4f340640",6,29,0.026,0,0,0,1,0,0,0,0,0,0,61.963,19.981,FALSE,FALSE,7.19842520598563,0.625340609844506
"4f340640",7,12,0.754,0,0,0,0,0,0,0,1,0,1,65.43,43.447,FALSE,FALSE,7.67913344298436,2.70907538431081
"4f340640",7,13,1,0,0,0,0,0,0,0,1,0,1,64.745,41.69,FALSE,FALSE,7.58415647663185,2.55305723043979
"4f340640",7,14,1,0,0,0,0.668,0,0,0,0.332,0,1,64.114,39.956,FALSE,FALSE,7.49666674558305,2.39908143145724
"4f340640",7,15,1,0,0,0,1,0,0,0,0,0,1,63.54,38.249,FALSE,FALSE,7.41708020735482,2.24750317951767
"4f340640",7,16,1,0,0,0,1,0,0,0,0,0,1,63.025,36.571,FALSE,FALSE,7.34567416695841,2.09850007069833
"4f340640",7,17,1,0,0,0,1,0,0,0,0,0,1,62.569,34.927,FALSE,FALSE,7.28244862439383,1.95251609519239
"4f340640",7,18,1,0,0,0,1,0,0,0,0,0,1,62.174,33.322,FALSE,FALSE,7.22768088467231,1.80999524319296
"4f340640",7,19,1,0,0,0,1,0,0,0,0,0,1,61.734,31.762,FALSE,FALSE,7.16667378219771,1.67147030293185
"4f340640",7,20,1,0,0,0,1,0,0,0,0,0,1,61.267,30.244,FALSE,FALSE,7.10192306207126,1.53667488029314
"4f340640",7,21,1,0,0,0,1,0,0,0,0,0,1,60.862,28.731,FALSE,FALSE,7.0457687972935,1.40232344784758
"4f340640",7,22,1,0,0,0,1,0,0,0,0,0,1,60.52,27.219,FALSE,FALSE,6.99834964037006,1.26806081344065
"4f340640",7,23,1,0,0,0,1,0,0,0,0,0,1,60.243,25.706,FALSE,FALSE,6.95994289631219,1.13370938099509
"4f340640",7,24,1,0,0,0,1,0,0,0,0,0,1,60.031,24.205,FALSE,FALSE,6.93054856511988,1.00042352501308
"4f340640",7,25,1,0,0,0,1,0,0,0,0,0,1,59.885,22.774,FALSE,FALSE,6.91030529929877,0.873353531735087
"4f340640",7,26,1,0,0,0,1,0,0,0,0,0,1,59.806,21.433,FALSE,FALSE,6.89935175135446,0.754275361933702
"4f340640",7,27,1,0,0,0,1,0,0,0,0,0,1,59.793,20.203,FALSE,FALSE,6.89754926878135,0.645053774420127
"4f340640",7,28,1,0,0,0,1,0,0,0,0,0,1,59.848,19.103,FALSE,FALSE,6.90517515659067,0.547375931928312
"4f340640",7,29,0.889,0,0,0,1,0,0,0,0,0,1,59.969,18.157,FALSE,FALSE,6.92195210977119,0.463372987385351
"4f340640",7,30,0.423,0,0,0,1,0,0,0,0,0,1,60.156,17.391,FALSE,FALSE,6.94788012832289,0.395353689795596
"4f340640",7,31,0.032,0,0,0,1,0,0,0,0,0,1,60.409,16.759,FALSE,FALSE,6.98295921224579,0.339233329382117
"4f340640",8,11,0.138,0,0,0,0,0,0,0,1,0,0,64.326,44.359,FALSE,FALSE,7.52606107677536,2.79005919554039
"4f340640",8,12,0.996,0,0,0,0,0,0,0,1,0,1,63.565,42.546,FALSE,FALSE,7.42054651999542,2.62906835150615
"4f340640",8,13,1,0,0,0,0.076,0,0,0,0.923,0,1,62.86,40.751,FALSE,FALSE,7.32279650353044,2.46967587216723
"4f340640",8,14,1,0,0,0,0.974,0,0,0,0.026,0,1,62.21,38.976,FALSE,FALSE,7.23267237487478,2.31205935360089
"4f340640",8,15,1,0,0,0,1,0,0,0,0,0,1,61.618,37.223,FALSE,FALSE,7.15059009154532,2.15639639188439
"4f340640",8,16,1,0,0,0,1,0,0,0,0,0,1,61.087,35.497,FALSE,FALSE,7.07696561105892,2.00313097721087
"4f340640",8,17,1,0,0,0,1,0,0,0,0,0,1,60.616,33.801,FALSE,FALSE,7.01166028090998,1.85252950369622
"4f340640",8,18,1,0,0,0,1,0,0,0,0,0,1,60.209,32.139,FALSE,FALSE,6.95522871112097,1.70494716349495
"4f340640",8,19,1,0,0,0,1,0,0,0,0,0,1,59.799,30.519,FALSE,FALSE,6.89838118381509,1.56109434091609
"4f340640",8,20,1,0,0,0,1,0,0,0,0,0,1,59.317,28.946,FALSE,FALSE,6.83155067610428,1.4214150261528
"4f340640",8,21,1,0,0,0,1,0,0,0,0,0,1,58.898,27.423,FALSE,FALSE,6.77345527624779,1.28617561332095
"4f340640",8,22,1,0,0,0,1,0,0,0,0,0,1,58.545,25.91,FALSE,FALSE,6.72451094176248,1.15182418087539
"4f340640",8,23,1,0,0,0,1,0,0,0,0,0,1,58.258,24.398,FALSE,FALSE,6.68471767264837,1.01756154646846
"4f340640",8,24,1,0,0,0,1,0,0,0,0,0,1,58.039,22.885,FALSE,FALSE,6.65435277391669,0.883210114022898
"4f340640",8,25,1,0,0,0,1,0,0,0,0,0,1,57.888,21.379,FALSE,FALSE,6.63341624556745,0.74948026784774
"4f340640",8,26,1,0,0,0,1,0,0,0,0,0,1,57.806,19.946,FALSE,FALSE,6.62204674010628,0.622232678492494
"4f340640",8,27,1,0,0,0,1,0,0,0,0,0,1,57.793,18.617,FALSE,FALSE,6.62024425753316,0.504220085154655
"4f340640",8,28,1,0,0,0,1,0,0,0,0,0,1,57.85,17.417,FALSE,FALSE,6.62814745035374,0.397662438799948
"4f340640",8,29,1,0,0,0,1,0,0,0,0,0,1,57.975,16.374,FALSE,FALSE,6.64547901355675,0.305046084509981
"4f340640",8,30,1,0,0,0,1,0,0,0,0,0,1,58.169,15.52,FALSE,FALSE,6.67237759964782,0.229212559520881
"4f340640",8,31,0.899,0,0,0,1,0,0,0,0,0,1,58.43,14.86,FALSE,FALSE,6.70856590361571,0.170605854025792
"4f340640",8,32,0.44,0,0,0,1,0,0,0,0,0,1,58.759,14.233,FALSE,FALSE,6.75418257796604,0.114929483805458
"4f340640",8,33,0.038,0,0,0,1,0,0,0,0,0,1,59.154,13.606,FALSE,FALSE,6.80895031768755,0.0592531135851231
"4f340640",9,11,0.514,0,0,0,0,0,0,0,1,0,0,62.492,43.57,FALSE,FALSE,7.27177238146077,2.71999754306217
"4f340640",9,12,1,0,0,0,0,0,0,0,1,0,1,61.709,41.723,FALSE,FALSE,7.16320746955711,2.55598756571454
"4f340640",9,13,1,0,0,0,0.433,0,0,0,0.566,0,1,60.982,39.891,FALSE,FALSE,7.06240709796839,2.39330955894636
"4f340640",9,14,1,0,0,0,1,0,0,0,0,0,1,60.312,38.075,FALSE,FALSE,6.96950991920025,2.23205232079623
"4f340640",9,15,1,0,0,0,1,0,0,0,0,0,1,59.702,36.279,FALSE,FALSE,6.88493189076955,2.07257104341869
"4f340640",9,16,1,0,0,0,1,0,0,0,0,0,1,59.153,34.505,FALSE,FALSE,6.80881166518193,1.91504332289098
"4f340640",9,17,1,0,0,0,1,0,0,0,0,0,1,58.667,32.758,FALSE,FALSE,6.74142654744862,1.75991314940625
"4f340640",9,18,1,0,0,0,1,0,0,0,0,0,1,58.246,31.041,FALSE,FALSE,6.68305384258088,1.60744691708039
"4f340640",9,19,1,0,0,0,1,0,0,0,0,0,1,57.869,29.36,FALSE,FALSE,6.6307818479606,1.45817741414517
"4f340640",9,20,1,0,0,0,1,0,0,0,0,0,1,57.37,27.721,FALSE,FALSE,6.56159424765417,1.31263742883237
"4f340640",9,21,1,0,0,0,1,0,0,0,0,0,1,56.937,26.133,FALSE,FALSE,6.50155771271894,1.17162614348964
"4f340640",9,22,1,0,0,0,1,0,0,0,0,0,1,56.572,24.602,FALSE,FALSE,6.45094954816615,1.03567634634876
"4f340640",9,23,1,0,0,0,1,0,0,0,0,0,1,56.275,23.089,FALSE,FALSE,6.40976975399579,0.901324913903198
"4f340640",9,24,1,0,0,0,1,0,0,0,0,0,1,56.048,21.577,FALSE,FALSE,6.37829563521912,0.767062279496267
"4f340640",9,25,1,0,0,0,1,0,0,0,0,0,1,55.892,20.064,FALSE,FALSE,6.35666584434176,0.632710847050706
