garden.guid,epsg3857.x,epsg3857.y,RUC21NM,RGN24NM,region_band
e977326b-6ce8-4f5e-b9b1-3ed7df4aa5b7,-402287.99629399,7373826.9892753,SCOTLAND_NOT_IN_EW_LOOKUP,SCOTLAND_NOT_IN_EW_LOOKUP,Scotland and Northern Ireland
ec3589b0-882a-45a2-87ea-35e232303032,-356931.45944609,7544435.4040684,SCOTLAND_NOT_IN_EW_LOOKUP,SCOTLAND_NOT_IN_EW_LOOKUP,Scotland and Northern Ireland
ec7e9962-e65c-4f04-9049-a9321e380c55,-32561.091067666,6779942.7914039,NO_POSTCODE_FOUND,NO_POSTCODE_FOUND,South England
f1601a57-082d-4b15-9171-86112fda8e2c,-144421.86955298,6994981.4388297,Urban: Nearer to a major town or city,East Midlands,Mid England and Wales
f42e7cdb-165a-495e-8f24-037453cc7ad3,-36156.94612449,6631619.4498484,Urban: Nearer to a major town or city,South East,South England
f4ba96da-4d15-4150-9f93-69e34f5a127e,-335090.26863714,7099512.8460792,Urban: Nearer to a major town or city,North West,North England
f6a00867-44ec-47ec-8dc3-60ababbffd1e,-355099.4934232,6704741.1196836,Urban: Nearer to a major town or city,NOT_MATCHED_IN_RGN24NM_LOOKUP,South England
f79569ff-15df-4e4c-bfe8-b464462587b7,-10283.624447054,7087321.2888889,Urban: Nearer to a major town or city,Yorkshire and The Humber,North England
f9c4c3b2-46c6-414d-b93d-88094679d14e,100539.72713119,6646466.6624448,Urban: Nearer to a major town or city,South East,South England
f9cc2e5a-c962-4d82-9d08-cc7ce260c617,-335198.69601437,7122008.9366323,Urban: Nearer to a major town or city,North West,North England
fec8df66-c5b8-4f15-a42f-bb2fd9a8bac5,-131895.0927145,6919058.7718839,Urban: Nearer to a major town or city,East Midlands,Mid England and Wales
